date,sales_total,sell_price,snap_CA,sales_lag_1,sales_lag_2,month,week_of_year,sales_moving_avg,price_promo_interaction,cumulative_sales,day_of_week,price_volatility,quarter
2013-05-22,7,2.0,0,7.0,7.0,5,21,7.0,0.0,7,2,0.0003454051684356848,2
2013-05-23,13,2.0,0,7.0,7.0,5,21,10.0,0.0,20,3,0.0,2
2013-05-24,11,2.0,0,13.0,7.0,5,21,10.333333333333334,0.0,31,4,0.0,2
2013-05-25,6,2.0,0,11.0,13.0,5,21,9.25,0.0,37,5,0.0,2
2013-05-26,8,2.0,0,6.0,11.0,5,21,9.5,0.0,45,6,0.0,2
2013-05-27,6,2.0,0,8.0,6.0,5,22,7.75,0.0,51,0,0.0,2
2013-05-28,7,2.0,0,6.0,8.0,5,22,6.75,0.0,58,1,0.0,2
2013-05-29,6,2.0,0,7.0,6.0,5,22,6.75,0.0,64,2,0.0,2
2013-05-30,9,2.0,0,6.0,7.0,5,22,7.0,0.0,73,3,0.0,2
2013-05-31,8,2.0,0,9.0,6.0,5,22,7.5,0.0,81,4,0.0,2
2013-06-01,10,2.0,1,8.0,9.0,6,22,8.25,2.0,91,5,0.0,2
2013-06-02,18,2.0,1,10.0,8.0,6,22,11.25,2.0,109,6,0.0,2
2013-06-03,23,2.0,1,18.0,10.0,6,23,14.75,2.0,132,0,0.0,2
2013-06-04,11,2.0,1,23.0,18.0,6,23,15.5,2.0,143,1,0.0,2
2013-06-05,6,2.0,1,11.0,23.0,6,23,14.5,2.0,149,2,0.0,2
2013-06-06,12,2.0,1,6.0,11.0,6,23,13.0,2.0,161,3,0.0,2
2013-06-07,30,2.0,1,12.0,6.0,6,23,14.75,2.0,191,4,0.0,2
2013-06-08,14,2.0,1,30.0,12.0,6,23,15.5,2.0,205,5,0.0,2
2013-06-09,15,2.0,1,14.0,30.0,6,23,17.75,2.0,220,6,0.0,2
2013-06-10,10,2.0,1,15.0,14.0,6,24,17.25,2.0,230,0,0.0,2
2013-06-11,15,2.0,0,10.0,15.0,6,24,13.5,0.0,245,1,0.0,2
2013-06-12,20,2.0,0,15.0,10.0,6,24,15.0,0.0,265,2,0.0,2
2013-06-13,12,2.0,0,20.0,15.0,6,24,14.25,0.0,277,3,0.0,2
2013-06-14,15,2.0,0,12.0,20.0,6,24,15.5,0.0,292,4,0.0,2
2013-06-15,11,2.0,0,15.0,12.0,6,24,14.5,0.0,303,5,0.0,2
2013-06-16,13,2.0,0,11.0,15.0,6,24,12.75,0.0,316,6,0.0,2
2013-06-17,12,2.0,0,13.0,11.0,6,25,12.75,0.0,328,0,0.0,2
2013-06-18,10,2.0,0,12.0,13.0,6,25,11.5,0.0,338,1,0.0,2
2013-06-19,12,2.0,0,10.0,12.0,6,25,11.75,0.0,350,2,0.0,2
2013-06-20,10,2.0,0,12.0,10.0,6,25,11.0,0.0,360,3,0.0,2
2013-06-21,9,2.0,0,10.0,12.0,6,25,10.25,0.0,369,4,0.0,2
2013-06-22,19,2.0,0,9.0,10.0,6,25,12.5,0.0,388,5,0.0,2
2013-06-23,12,2.0,0,19.0,9.0,6,25,12.5,0.0,400,6,0.0,2
2013-06-24,1,2.0,0,12.0,19.0,6,26,10.25,0.0,401,0,0.0,2
2013-06-25,9,2.0,0,1.0,12.0,6,26,10.25,0.0,410,1,0.0,2
2013-06-26,9,2.0,0,9.0,1.0,6,26,7.75,0.0,419,2,0.0,2
2013-06-27,12,2.0,0,9.0,9.0,6,26,7.75,0.0,431,3,0.0,2
2013-06-28,8,2.0,0,12.0,9.0,6,26,9.5,0.0,439,4,0.0,2
2013-06-29,21,2.0,0,8.0,12.0,6,26,12.5,0.0,460,5,0.0,2
2013-06-30,5,2.0,0,21.0,8.0,6,26,11.5,0.0,465,6,0.0,2
2013-07-01,18,2.0,1,5.0,21.0,7,27,13.0,2.0,483,0,0.0,3
2013-07-02,9,2.0,1,18.0,5.0,7,27,13.25,2.0,492,1,0.0,3
2013-07-03,8,2.0,1,9.0,18.0,7,27,10.0,2.0,500,2,0.0,3
2013-07-04,9,2.0,1,8.0,9.0,7,27,11.0,2.0,509,3,0.0,3
2013-07-05,17,2.0,1,9.0,8.0,7,27,10.75,2.0,526,4,0.0,3
2013-07-06,10,2.0,1,17.0,9.0,7,27,11.0,2.0,536,5,0.0,3
2013-07-07,12,2.0,1,10.0,17.0,7,27,12.0,2.0,548,6,0.0,3
