date,sales_total,sell_price,snap_CA,sales_lag_1,sales_lag_2,month,week_of_year,sales_moving_avg,price_promo_interaction,cumulative_sales,day_of_week,price_volatility,quarter
2013-05-22,2269,3.2918162839248435,0,2269.0,2269.0,5,21,2269.0,0.0,2269,2,0.000363386238396623,2
2013-05-23,2466,3.2918162839248435,0,2269.0,2269.0,5,21,2367.5,0.0,4735,3,0.0,2
2013-05-24,3010,3.2918162839248435,0,2466.0,2269.0,5,21,2581.6666666666665,0.0,7745,4,0.0,2
2013-05-25,3182,3.291830201809325,0,3010.0,2466.0,5,21,2731.75,0.0,10927,5,6.95894224074974e-06,2
2013-05-26,2976,3.291830201809325,0,3182.0,3010.0,5,21,2908.5,0.0,13903,6,8.035494351975888e-06,2
2013-05-27,2985,3.291830201809325,0,2976.0,3182.0,5,22,3038.25,0.0,16888,0,6.958942240749739e-06,2
2013-05-28,2300,3.291830201809325,0,2985.0,2976.0,5,22,2860.75,0.0,19188,1,0.0,2
2013-05-29,2110,3.291830201809325,0,2300.0,2985.0,5,22,2592.75,0.0,21298,2,0.0,2
2013-05-30,2321,3.291830201809325,0,2110.0,2300.0,5,22,2429.0,0.0,23619,3,0.0,2
2013-05-31,3095,3.291830201809325,0,2321.0,2110.0,5,22,2456.5,0.0,26714,4,0.0,2
2013-06-01,3856,3.29446764091858,1,3095.0,2321.0,6,22,2845.5,3.29446764091858,30570,5,0.0013187195546272932,2
2013-06-02,3982,3.29446764091858,1,3856.0,3095.0,6,22,3313.5,3.29446764091858,34552,6,0.001522726179699094,2
2013-06-03,2966,3.29446764091858,1,3982.0,3856.0,6,23,3474.75,3.29446764091858,37518,0,0.001318719554626405,2
2013-06-04,2694,3.29446764091858,1,2966.0,3982.0,6,23,3374.5,3.29446764091858,40212,1,0.0,2
2013-06-05,2842,3.29446764091858,1,2694.0,2966.0,6,23,3121.0,3.29446764091858,43054,2,0.0,2
2013-06-06,2120,3.29446764091858,1,2842.0,2694.0,6,23,2655.5,3.29446764091858,45174,3,0.0,2
2013-06-07,3358,3.29446764091858,1,2120.0,2842.0,6,23,2753.5,3.29446764091858,48532,4,0.0,2
2013-06-08,4011,3.294801670146138,1,3358.0,2120.0,6,23,3082.75,3.294801670146138,52543,5,0.00016701461376546965,2
2013-06-09,4186,3.294801670146138,1,4011.0,3358.0,6,23,3418.75,3.294801670146138,56729,6,0.000192851864435838,2
2013-06-10,3336,3.294801670146138,1,4186.0,4011.0,6,24,3722.75,3.294801670146138,60065,0,0.00016701461376495154,2
2013-06-11,2612,3.294801670146138,0,3336.0,4186.0,6,24,3536.25,0.0,62677,1,0.0,2
2013-06-12,2649,3.294801670146138,0,2612.0,3336.0,6,24,3195.75,0.0,65326,2,0.0,2
2013-06-13,2738,3.294801670146138,0,2649.0,2612.0,6,24,2833.75,0.0,68064,3,0.0,2
2013-06-14,3523,3.294801670146138,0,2738.0,2649.0,6,24,2880.5,0.0,71587,4,0.0,2
2013-06-15,3936,3.2925678496868476,0,3523.0,2738.0,6,24,3211.5,0.0,75523,5,0.0011169102296432446,2
2013-06-16,3373,3.2925678496868476,0,3936.0,3523.0,6,24,3392.5,0.0,78896,6,0.00128969684349111,2
2013-06-17,2624,3.2925678496868476,0,3373.0,3936.0,6,25,3364.0,0.0,81520,0,0.0011169102296437626,2
2013-06-18,2530,3.2925678496868476,0,2624.0,3373.0,6,25,3115.75,0.0,84050,1,0.0,2
2013-06-19,2246,3.2925678496868476,0,2530.0,2624.0,6,25,2693.25,0.0,86296,2,0.0,2
2013-06-20,2567,3.2925678496868476,0,2246.0,2530.0,6,25,2491.75,0.0,88863,3,0.0,2
2013-06-21,3308,3.2925678496868476,0,2567.0,2246.0,6,25,2662.75,0.0,92171,4,0.0,2
2013-06-22,3766,3.292219902574809,0,3308.0,2567.0,6,25,2971.75,0.0,95937,5,0.00017397355601251322,2
2013-06-23,3790,3.292219902574809,0,3766.0,3308.0,6,25,3357.75,0.0,99727,6,0.0002008873587933393,2
2013-06-24,2659,3.292219902574809,0,3790.0,3766.0,6,26,3380.75,0.0,102386,0,0.00017397355601225415,2
2013-06-25,2298,3.292219902574809,0,2659.0,3790.0,6,26,3128.25,0.0,104684,1,0.0,2
2013-06-26,2637,3.292219902574809,0,2298.0,2659.0,6,26,2846.0,0.0,107321,2,0.0,2
2013-06-27,2610,3.292219902574809,0,2637.0,2298.0,6,26,2551.0,0.0,109931,3,0.0,2
2013-06-28,3651,3.292219902574809,0,2610.0,2637.0,6,26,2799.0,0.0,113582,4,0.0,2
2013-06-29,4075,3.291983298538622,0,3651.0,2610.0,6,26,3243.25,0.0,117657,5,0.00011830201808180704,2
2013-06-30,4077,3.291983298538622,0,4075.0,3651.0,6,26,3603.25,0.0,121734,6,0.00013660340397315558,2
2013-07-01,3672,3.291983298538622,1,4077.0,4075.0,7,27,3868.75,3.291983298538622,125406,0,0.00011830201808028974,3
2013-07-02,3559,3.291983298538622,1,3672.0,4077.0,7,27,3845.75,3.291983298538622,128965,1,0.0,3
2013-07-03,3874,3.291983298538622,1,3559.0,3672.0,7,27,3795.5,3.291983298538622,132839,2,0.0,3
2013-07-04,3504,3.291983298538622,1,3874.0,3559.0,7,27,3652.25,3.291983298538622,136343,3,0.0,3
2013-07-05,3799,3.291983298538622,1,3504.0,3874.0,7,27,3684.0,3.291983298538622,140142,4,0.0,3
2013-07-06,3445,3.292713987473904,1,3799.0,3504.0,7,27,3655.5,3.292713987473904,143587,5,0.00036534446763744025,3
2013-07-07,4336,3.292713987473904,1,3445.0,3799.0,7,27,3771.0,3.292713987473904,147923,6,0.0004218634534766912,3
2013-07-08,3254,3.292713987473904,1,4336.0,3445.0,7,28,3708.5,3.292713987473904,151177,0,0.0003653444676392166,3
2013-07-09,3081,3.292713987473904,1,3254.0,4336.0,7,28,3529.0,3.292713987473904,154258,1,0.0,3
2013-07-10,3125,3.292713987473904,1,3081.0,3254.0,7,28,3449.0,3.292713987473904,157383,2,0.0,3
2013-07-11,2888,3.292713987473904,0,3125.0,3081.0,7,28,3087.0,0.0,160271,3,0.0,3
2013-07-12,3376,3.292713987473904,0,2888.0,3125.0,7,28,3117.5,0.0,163647,4,0.0,3
2013-07-13,3725,3.294599860821155,0,3376.0,2888.0,7,28,3278.5,0.0,167372,5,0.0009429366736258239,3
2013-07-14,4179,3.294599860821155,0,3725.0,3376.0,7,28,3542.0,0.0,171551,6,0.001088809484693916,3
2013-07-15,2888,3.294599860821155,0,4179.0,3725.0,7,29,3542.0,0.0,174439,0,0.0009429366736276002,3
2013-07-16,2719,3.294599860821155,0,2888.0,4179.0,7,29,3377.75,0.0,177158,1,0.0,3
2013-07-17,2728,3.294599860821155,0,2719.0,2888.0,7,29,3128.5,0.0,179886,2,0.0,3
2013-07-18,2828,3.294599860821155,0,2728.0,2719.0,7,29,2790.75,0.0,182714,3,0.0,3
2013-07-19,3203,3.294599860821155,0,2828.0,2728.0,7,29,2869.5,0.0,185917,4,0.0,3
2013-07-20,3799,3.2949617258176755,0,3203.0,2828.0,7,29,3139.5,0.0,189716,5,0.00018093249827766085,3
2013-07-21,3908,3.2949617258176755,0,3799.0,3203.0,7,29,3434.5,0.0,193624,6,0.00020892285316754475,3
2013-07-22,2777,3.2949617258176755,0,3908.0,3799.0,7,30,3421.75,0.0,196401,0,0.00018093249828006635,3
2013-07-23,2714,3.2949617258176755,0,2777.0,3908.0,7,30,3299.5,0.0,199115,1,0.0,3
2013-07-24,2661,3.2949617258176755,0,2714.0,2777.0,7,30,3015.0,0.0,201776,2,0.0,3
2013-07-25,2598,3.2949617258176755,0,2661.0,2714.0,7,30,2687.5,0.0,204374,3,0.0,3
2013-07-26,2925,3.2949617258176755,0,2598.0,2661.0,7,30,2724.5,0.0,207299,4,0.0,3
2013-07-27,3239,3.296583159359777,0,2925.0,2598.0,7,30,2855.75,0.0,210538,5,0.0008107167710565048,3
2013-07-28,3786,3.296583159359777,0,3239.0,2925.0,7,30,3137.0,0.0,214324,6,0.00093613509201142,3
2013-07-29,2743,3.296583159359777,0,3786.0,3239.0,7,31,3173.25,0.0,217067,0,0.000810716771059009,3
2013-07-30,2660,3.296583159359777,0,2743.0,3786.0,7,31,3107.0,0.0,219727,1,0.0,3
2013-07-31,2504,3.296583159359777,0,2660.0,2743.0,7,31,2923.25,0.0,222231,2,0.0,3
2013-08-01,3135,3.296583159359777,1,2504.0,2660.0,8,31,2760.5,3.296583159359777,225366,3,0.0,3
2013-08-02,3769,3.296583159359777,1,3135.0,2504.0,8,31,3017.0,3.296583159359777,229135,4,0.0,3
2013-08-03,4222,3.293061934585943,1,3769.0,3135.0,8,31,3407.5,3.293061934585943,233357,5,0.0017606123869201703,3
2013-08-04,3836,3.293061934585943,1,4222.0,3769.0,8,31,3740.5,3.293061934585943,237193,6,0.0020329800710518556,3
2013-08-05,3378,3.293061934585943,1,3836.0,4222.0,8,32,3801.25,3.293061934585943,240571,0,0.0017606123869175058,3
2013-08-06,2980,3.293061934585943,1,3378.0,3836.0,8,32,3604.0,3.293061934585943,243551,1,0.0,3
2013-08-07,3263,3.293061934585943,1,2980.0,3378.0,8,32,3364.25,3.293061934585943,246814,2,0.0,3
2013-08-08,3124,3.293061934585943,1,3263.0,2980.0,8,32,3186.25,3.293061934585943,249938,3,0.0,3
2013-08-09,3514,3.293061934585943,1,3124.0,3263.0,8,32,3220.25,3.293061934585943,253452,4,0.0,3
